timestamp,score
2025-12-05T21:23:47.657078,0
2025-12-05T21:23:49.603830,0
2025-12-05T21:23:51.539014,0
2025-12-05T21:24:07.802881,0
2025-12-05T21:24:11.042311,0
2025-12-05T21:24:11.455851,0
2025-12-05T21:24:11.696004,0
2025-12-05T21:24:11.973739,0
2025-12-05T21:24:12.208626,0
2025-12-05T21:24:12.389808,0
2025-12-05T21:24:12.611481,0
2025-12-05T21:24:12.794339,0
2025-12-05T21:24:12.997241,0
2025-12-05T21:24:13.212553,0
2025-12-05T21:24:13.401250,0
2025-12-05T21:24:13.592564,0
2025-12-05T21:24:13.793821,0
2025-12-05T21:24:13.988412,0
2025-12-05T21:24:14.195039,0
2025-12-05T21:24:14.385782,0
2025-12-05T21:24:14.608670,0
2025-12-05T21:24:15.071815,0
2025-12-05T21:24:15.793610,0
2025-12-05T21:24:16.119139,0
2025-12-05T21:24:16.516148,0
2025-12-05T21:24:17.301266,0
2025-12-05T21:24:17.856344,0
2025-12-05T21:24:18.495780,0
2025-12-05T21:24:19.045775,0
2025-12-05T21:24:19.457872,0
2025-12-05T21:24:19.764530,0
2025-12-05T21:24:20.011705,0
2025-12-05T21:24:33.041410,0
2025-12-05T21:24:34.931108,0
2025-12-05T21:24:36.738678,0
2025-12-05T21:24:37.341500,0
2025-12-05T21:24:38.584736,0
2025-12-05T21:27:20.978700,0
2025-12-05T21:30:01.234640,60
